Unnamed: 0,ts_code,trade_date,open,close,high,low,pre_close,vol
0,SPX,20230331,4056.18,4109.31,4110.75,4056.18,4050.83,2516723.0
1,SPX,20230330,4046.74,4050.83,4057.85,4032.1,4027.81,2133760.0
2,SPX,20230329,3999.53,4027.81,4030.59,3999.53,3971.27,2265596.0
3,SPX,20230328,3974.13,3971.27,3979.2,3951.53,3977.53,1986604.0
4,SPX,20230327,3982.93,3977.53,4003.83,3970.49,3970.99,2461562.0
5,SPX,20230324,3939.21,3970.99,3972.74,3909.16,3948.72,2584795.0
6,SPX,20230323,3959.21,3948.72,4007.66,3919.05,3936.97,2797479.0
7,SPX,20230322,4002.04,3936.97,4039.49,3936.17,4002.87,2694608.0
8,SPX,20230321,3975.89,4002.87,4009.08,3971.19,3951.57,2947356.0
9,SPX,20230320,3917.47,3951.57,3956.62,3916.89,3916.64,2917995.0
10,SPX,20230317,3958.69,3916.64,3958.91,3901.27,3960.28,5761270.0
11,SPX,20230316,3878.93,3960.28,3964.46,3864.11,3891.93,3623445.0
12,SPX,20230315,3876.74,3891.93,3894.26,3838.24,3919.29,3703901.0
13,SPX,20230314,3894.01,3919.29,3937.29,3873.63,3855.76,3434915.0
14,SPX,20230313,3835.12,3855.76,3905.05,3808.86,3861.59,4001022.0
15,SPX,20230310,3912.77,3861.59,3934.05,3846.32,3918.32,3238482.0
16,SPX,20230309,3998.66,3918.32,4017.81,3908.7,3992.01,2604829.0
17,SPX,20230308,3987.55,3992.01,4000.41,3969.76,3986.37,2036783.0
18,SPX,20230307,4048.26,3986.37,4050.0,3980.31,4048.42,2261990.0
19,SPX,20230306,4055.15,4048.42,4078.49,4044.61,4045.64,2183397.0
20,SPX,20230303,3998.02,4045.64,4048.29,3995.17,3981.35,2228261.0
21,SPX,20230302,3938.68,3981.35,3990.84,3928.16,3951.39,2252262.0
22,SPX,20230301,3963.34,3951.39,3971.73,3939.05,3970.15,2225253.0
23,SPX,20230228,3977.19,3970.15,3997.5,3968.98,3982.24,2771735.0
24,SPX,20230227,3992.36,3982.24,4018.05,3973.55,3970.04,2068606.0
25,SPX,20230224,3973.24,3970.04,3978.25,3943.08,4012.32,2180171.0
26,SPX,20230223,4018.6,4012.32,4028.3,3969.19,3991.05,2308658.0
27,SPX,20230222,4001.83,3991.05,4017.37,3976.9,3997.34,2259720.0
28,SPX,20230221,4052.35,3997.34,4052.35,3995.19,4079.09,2347271.0
29,SPX,20230217,4077.39,4079.09,4081.51,4047.95,4090.41,2380094.0
30,SPX,20230216,4114.75,4090.41,4136.54,4089.49,4147.6,2264835.0
31,SPX,20230215,4119.5,4147.6,4148.11,4103.98,4136.13,2112266.0
32,SPX,20230214,4126.7,4136.13,4159.77,4095.01,4137.29,2219076.0
33,SPX,20230213,4096.62,4137.29,4138.9,4092.67,4090.46,2125960.0
34,SPX,20230210,4068.92,4090.46,4094.36,4060.79,4081.5,2312193.0
35,SPX,20230209,4144.25,4081.5,4156.23,4069.67,4117.86,2652617.0
36,SPX,20230208,4153.47,4117.86,4156.85,4111.67,4164.0,2543427.0
37,SPX,20230207,4105.35,4164.0,4176.54,4088.39,4111.08,2612788.0
38,SPX,20230206,4119.57,4111.08,4124.63,4093.38,4136.48,2284201.0
39,SPX,20230203,4136.69,4136.48,4182.36,4123.36,4179.76,2899964.0
40,SPX,20230202,4158.68,4179.76,4195.44,4141.88,4119.21,3391309.0
41,SPX,20230201,4070.07,4119.21,4148.95,4037.2,4076.6,2939837.0
42,SPX,20230131,4020.85,4076.6,4077.16,4020.44,4017.77,2865897.0
43,SPX,20230130,4049.27,4017.77,4063.85,4015.55,4070.56,2303538.0
44,SPX,20230127,4053.72,4070.56,4094.21,4048.7,4060.43,2572664.0
45,SPX,20230126,4036.08,4060.43,4061.57,4013.29,4016.22,2433219.0
46,SPX,20230125,3982.71,4016.22,4019.55,3949.06,4016.95,2416052.0
47,SPX,20230124,4001.74,4016.95,4023.92,3989.79,4019.81,2091230.0
48,SPX,20230123,3978.14,4019.81,4039.31,3971.64,3972.61,2469900.0
49,SPX,20230120,3909.04,3972.61,3972.96,3897.86,3898.85,2617399.0
50,SPX,20230119,3911.84,3898.85,3922.94,3885.54,3928.86,2465302.0
51,SPX,20230118,4002.25,3928.86,4014.16,3926.59,3990.97,2545981.0
52,SPX,20230117,3999.28,3990.97,4015.39,3984.57,3999.09,2498748.0
53,SPX,20230113,3960.6,3999.09,4003.95,3947.67,3983.17,2305898.0
54,SPX,20230112,3977.57,3983.17,3997.76,3937.56,3969.61,2468827.0
55,SPX,20230111,3932.35,3969.61,3970.07,3928.54,3919.25,2354205.0
56,SPX,20230110,3888.57,3919.25,3919.83,3877.29,3892.09,2141505.0
57,SPX,20230106,3823.37,3895.08,3906.19,3809.56,3808.1,2468431.0
58,SPX,20230105,3839.74,3808.1,3839.74,3802.42,3852.97,2259317.0
59,SPX,20230104,3840.36,3852.97,3873.16,3815.77,3824.14,2595165.0
60,SPX,20230103,3853.29,3824.14,3878.46,3794.33,3839.5,2353397.0
61,SPX,20221230,3829.06,3839.5,3839.85,3800.34,3849.28,1706136.0
62,SPX,20221229,3805.45,3849.28,3858.19,3805.45,3783.22,1735157.0
63,SPX,20221228,3829.56,3783.22,3848.32,3780.78,3829.25,1740055.0
64,SPX,20221227,3843.34,3829.25,3846.65,3813.22,3844.82,1744900.0
65,SPX,20221223,3815.11,3844.82,3845.8,3797.01,3822.39,1579127.0
66,SPX,20221222,3853.26,3822.39,3853.26,3764.49,3878.44,2365339.0
