ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
SPX,20230403,4102.2,4124.51,4127.66,4098.79,4109.31,15.2,0.37,0.7,2425239
SPX,20230404,4128.03,4100.6,4133.13,4086.87,4124.51,-23.91,-0.58,1.12,2264264
SPX,20230405,4094.5,4090.38,4099.69,4072.56,4100.6,-10.22,-0.25,0.66,2325150
SPX,20230406,4081.15,4105.02,4107.32,4069.84,4090.38,14.64,0.36,0.92,2072470
SPX,20230410,4085.2,4109.11,4109.5,4072.55,4105.02,4.09,0.1,0.9,1948962
SPX,20230411,4110.29,4108.94,4124.26,4102.61,4109.11,-0.17,0.0,0.53,1989409
SPX,20230412,4121.72,4091.95,4134.37,4086.94,4108.94,-16.99,-0.41,1.15,2242918
SPX,20230413,4100.04,4146.22,4150.26,4099.4,4091.95,54.27,1.33,1.24,2196995
SPX,20230414,4140.11,4137.64,4163.19,4113.2,4146.22,-8.58,-0.21,1.21,2077041
SPX,20230417,4137.17,4151.32,4151.72,4123.18,4137.64,13.68,0.33,0.69,2132427
SPX,20230418,4164.26,4154.87,4169.48,4140.36,4151.32,3.55,0.09,0.7,2124684
SPX,20230419,4139.33,4154.52,4162.57,4134.49,4154.87,-0.35,-0.01,0.68,2158289
SPX,20230420,4130.48,4129.79,4148.57,4114.57,4154.52,-24.73,-0.6,0.82,2453133
SPX,20230421,4132.14,4133.52,4138.02,4113.86,4129.79,3.73,0.09,0.59,2304130
SPX,20230424,4132.07,4137.04,4142.41,4117.77,4133.52,3.52,0.09,0.6,2113778
SPX,20230425,4126.43,4071.63,4126.43,4071.38,4137.04,-65.41,-1.58,1.33,2559844
SPX,20230426,4087.78,4055.99,4089.67,4049.35,4071.63,-15.64,-0.38,0.99,2698868
SPX,20230427,4075.29,4135.35,4138.24,4075.29,4055.99,79.36,1.96,1.55,2698413
SPX,20230428,4129.3,4169.48,4170.06,4127.17,4135.35,34.13,0.83,1.04,2723328
SPX,20230501,4166.79,4167.87,4186.92,4164.12,4169.48,-1.61,-0.04,0.55,2244433
SPX,20230502,4164.1,4119.58,4164.1,4089.72,4167.87,-48.29,-1.16,1.78,2638400
SPX,20230503,4122.25,4090.75,4148.3,4088.86,4119.58,-28.83,-0.7,1.44,2793301
SPX,20230504,4082.55,4061.22,4082.61,4048.28,4090.75,-29.53,-0.72,0.84,2876115
SPX,20230505,4084.73,4136.25,4147.02,4084.73,4061.22,75.03,1.85,1.53,2470165
SPX,20230508,4136.98,4138.12,4142.3,4123.81,4136.25,1.87,0.05,0.45,2097970
SPX,20230509,4124.25,4119.17,4130.35,4116.65,4138.12,-18.95,-0.46,0.33,2063699
SPX,20230510,4143.74,4137.64,4154.28,4098.92,4119.17,18.47,0.45,1.34,2344518
SPX,20230511,4132.24,4130.62,4132.8,4109.29,4137.64,-7.02,-0.17,0.57,2245623
SPX,20230512,4138.54,4124.08,4143.74,4099.12,4130.62,-6.54,-0.16,1.08,2076596
SPX,20230515,4126.65,4136.28,4141.25,4110.27,4124.08,12.2,0.3,0.75,2052455
SPX,20230516,4127.95,4109.9,4135.54,4109.86,4136.28,-26.38,-0.64,0.62,2176451
SPX,20230517,4122.85,4158.77,4164.67,4113.62,4109.9,48.87,1.19,1.24,2440898
SPX,20230518,4157.68,4198.05,4202.2,4153.5,4158.77,39.28,0.94,1.17,2409184
SPX,20230519,4204.15,4191.98,4212.91,4180.2,4198.05,-6.07,-0.14,0.78,2352764
